sensor,date,measurement
weight,2023-04-25 13:36:26.741597,24
weight,2023-04-25 13:36:26.741599,125
humidity,2023-04-25 13:36:26.741601,91
light,2023-04-25 13:36:26.741603,3591
temperature,2023-04-25 13:36:26.741605,83
temperature,2023-04-25 13:36:26.741607,106
temperature,2023-04-25 13:36:26.741611,138
humidity,2023-04-25 13:36:26.741613,14
temperature,2023-04-25 13:36:26.741615,26
humidity,2023-04-25 13:36:26.741617,18
light,2023-04-25 13:36:26.741619,1577
light,2023-04-25 13:36:26.741621,3115
humidity,2023-04-25 13:36:26.741623,76
humidity,2023-04-25 13:36:26.741625,67
light,2023-04-25 13:36:26.741628,1896
light,2023-04-25 13:36:26.741630,5626
light,2023-04-25 13:36:26.741633,562
temperature,2023-04-25 13:36:26.741635,104
light,2023-04-25 13:36:26.741637,276
humidity,2023-04-25 13:36:26.741639,51
temperature,2023-04-25 13:36:26.741641,E9
weight,2023-04-25 13:36:26.741643,70
weight,2023-04-25 13:36:26.741645,69
light,2023-04-25 13:36:26.741647,1111
weight,2023-04-25 13:36:26.741649,72
temperature,2023-04-25 13:36:26.741651,20
weight,2023-04-25 13:36:26.741653,120
temperature,2023-04-25 13:36:26.741655,96
humidity,2023-04-25 13:36:26.741656,14
temperature,2023-04-25 13:36:26.741658,E0
humidity,2023-04-25 13:36:26.741660,50
weight,2023-04-25 13:36:26.741662,127
light,2023-04-25 13:36:26.741664,4335
humidity,2023-04-25 13:36:26.741666,48
temperature,2023-04-25 13:36:26.741668,143
weight,2023-04-25 13:36:26.741670,181
temperature,2023-04-25 13:36:26.741672,22
temperature,2023-04-25 13:36:26.741674,22
temperature,2023-04-25 13:36:26.741676,154
light,2023-04-25 13:36:26.741679,2057
weight,2023-04-25 13:36:26.741681,40
light,2023-04-25 13:36:26.741683,648
temperature,2023-04-25 13:36:26.741685,132
temperature,2023-04-25 13:36:26.741687,116
weight,2023-04-25 13:36:26.741689,59
humidity,2023-04-25 13:36:26.741691,E0
humidity,2023-04-25 13:36:26.741693,17
weight,2023-04-25 13:36:26.741695,14
light,2023-04-25 13:36:26.741697,807
humidity,2023-04-25 13:36:26.741699,88
light,2023-04-25 13:36:26.741701,1442
weight,2023-04-25 13:36:26.741703,4
light,2023-04-25 13:36:26.741705,4112
humidity,2023-04-25 13:36:26.741708,47
temperature,2023-04-25 13:36:26.741710,168
humidity,2023-04-25 13:36:26.741712,25
temperature,2023-04-25 13:36:26.741714,163
light,2023-04-25 13:36:26.741716,4495
temperature,2023-04-25 13:36:26.741718,62
humidity,2023-04-25 13:36:26.741720,76
weight,2023-04-25 13:36:26.741722,103
humidity,2023-04-25 13:36:26.741724,96
temperature,2023-04-25 13:36:26.741728,42
weight,2023-04-25 13:36:26.741731,5
temperature,2023-04-25 13:36:26.741733,200
temperature,2023-04-25 13:36:26.741735,176
weight,2023-04-25 13:36:26.741737,135
light,2023-04-25 13:36:26.741739,1001
weight,2023-04-25 13:36:26.741741,34
weight,2023-04-25 13:36:26.741744,173
weight,2023-04-25 13:36:26.741746,77
temperature,2023-04-25 13:36:26.741748,119
temperature,2023-04-25 13:36:26.741750,23
temperature,2023-04-25 13:36:26.741752,199
weight,2023-04-25 13:36:26.741754,5
temperature,2023-04-25 13:36:26.741756,0
humidity,2023-04-25 13:36:26.741758,18
temperature,2023-04-25 13:36:26.741760,189
light,2023-04-25 13:36:26.741762,5855
light,2023-04-25 13:36:26.741764,3161
weight,2023-04-25 13:36:26.741766,149
light,2023-04-25 13:36:26.741768,143
temperature,2023-04-25 13:36:26.741770,158
humidity,2023-04-25 13:36:26.741772,42
weight,2023-04-25 13:36:26.741774,164
humidity,2023-04-25 13:36:26.741777,2
humidity,2023-04-25 13:36:26.741779,90
light,2023-04-25 13:36:26.741781,3309
light,2023-04-25 13:36:26.741783,5170
temperature,2023-04-25 13:36:26.741785,185
humidity,2023-04-25 13:36:26.741787,25
temperature,2023-04-25 13:36:26.741789,9
weight,2023-04-25 13:36:26.741791,184
temperature,2023-04-25 13:36:26.741793,112
temperature,2023-04-25 13:36:26.741795,34
humidity,2023-04-25 13:36:26.741796,24
light,2023-04-25 13:36:26.741798,15
light,2023-04-25 13:36:26.741800,E0
humidity,2023-04-25 13:36:26.741802,48
humidity,2023-04-25 13:36:26.741804,69
weight,2023-04-25 13:36:26.741806,170
temperature,2023-04-25 13:36:26.741807,182
humidity,2023-04-25 13:36:26.741809,11
light,2023-04-25 13:36:26.741811,2531
weight,2023-04-25 13:36:26.741813,23
light,2023-04-25 13:36:26.741815,5027
humidity,2023-04-25 13:36:26.741817,97
humidity,2023-04-25 13:36:26.741819,35
humidity,2023-04-25 13:36:26.741823,29
weight,2023-04-25 13:36:26.741825,50
weight,2023-04-25 13:36:26.741827,E9
weight,2023-04-25 13:36:26.741828,E7
light,2023-04-25 13:36:26.741830,E4
temperature,2023-04-25 13:36:26.741832,199
light,2023-04-25 13:36:26.741834,3470
weight,2023-04-25 13:36:26.741836,150
weight,2023-04-25 13:36:26.741838,19
weight,2023-04-25 13:36:26.741839,97
humidity,2023-04-25 13:36:26.741841,88
humidity,2023-04-25 13:36:26.741843,39
humidity,2023-04-25 13:36:26.741845,69
humidity,2023-04-25 13:36:26.741847,36
temperature,2023-04-25 13:36:26.741849,148
temperature,2023-04-25 13:36:26.741851,39
temperature,2023-04-25 13:36:26.741852,30
humidity,2023-04-25 13:36:26.741854,100
light,2023-04-25 13:36:26.741856,3884
temperature,2023-04-25 13:36:26.741858,93
temperature,2023-04-25 13:36:26.741860,110
light,2023-04-25 13:36:26.741862,5932
temperature,2023-04-25 13:36:26.741864,36
temperature,2023-04-25 13:36:26.741867,&^%$
humidity,2023-04-25 13:36:26.741870,49
humidity,2023-04-25 13:36:26.741872,50
light,2023-04-25 13:36:26.741874,169
light,2023-04-25 13:36:26.741877,1153
humidity,2023-04-25 13:36:26.741879,14
light,2023-04-25 13:36:26.741882,3157
humidity,2023-04-25 13:36:26.741886,E5
light,2023-04-25 13:36:26.741887,2025
humidity,2023-04-25 13:36:26.741889,44
temperature,2023-04-25 13:36:26.741891,143
light,2023-04-25 13:36:26.741893,2868
weight,2023-04-25 13:36:26.741895,124
temperature,2023-04-25 13:36:26.741897,11
light,2023-04-25 13:36:26.741899,2849
weight,2023-04-25 13:36:26.741901,40
humidity,2023-04-25 13:36:26.741903,67
weight,2023-04-25 13:36:26.741905,66
humidity,2023-04-25 13:36:26.741907,
humidity,2023-04-25 13:36:26.741908,E4
humidity,2023-04-25 13:36:26.741910,17
temperature,2023-04-25 13:36:26.741912,170
weight,2023-04-25 13:36:26.741914,130
weight,2023-04-25 13:36:26.741917,180
weight,2023-04-25 13:36:26.741919,162
weight,2023-04-25 13:36:26.741921,148
light,2023-04-25 13:36:26.741923,861
humidity,2023-04-25 13:36:26.741925,24
light,2023-04-25 13:36:26.741927,2425
light,2023-04-25 13:36:26.741929,4242
weight,2023-04-25 13:36:26.741931,155
temperature,2023-04-25 13:36:26.741933,61
weight,2023-04-25 13:36:26.741935,E6
weight,2023-04-25 13:36:26.741937,E5
temperature,2023-04-25 13:36:26.741938,41
humidity,2023-04-25 13:36:26.741940,74
humidity,2023-04-25 13:36:26.741942,33
light,2023-04-25 13:36:26.741944,3232
weight,2023-04-25 13:36:26.741946,143
temperature,2023-04-25 13:36:26.741948,139
humidity,2023-04-25 13:36:26.741950,65
weight,2023-04-25 13:36:26.741952,97
weight,2023-04-25 13:36:26.741954,189
humidity,2023-04-25 13:36:26.741956,31
weight,2023-04-25 13:36:26.741958,70
light,2023-04-25 13:36:26.741960,5382
temperature,2023-04-25 13:36:26.741963,109
weight,2023-04-25 13:36:26.741965,152
weight,2023-04-25 13:36:26.741967,179
light,2023-04-25 13:36:26.741969,1320
weight,2023-04-25 13:36:26.741971,96
temperature,2023-04-25 13:36:26.741974,143
light,2023-04-25 13:36:26.741976,2081
humidity,2023-04-25 13:36:26.741978,78
light,2023-04-25 13:36:26.741980,3635
light,2023-04-25 13:36:26.741982,1037
weight,2023-04-25 13:36:26.741984,6
weight,2023-04-25 13:36:26.741986,17
weight,2023-04-25 13:36:26.741988,133
temperature,2023-04-25 13:36:26.741989,102
humidity,2023-04-25 13:36:26.741991,54
weight,2023-04-25 13:36:26.741993,142
weight,2023-04-25 13:36:26.741995,4
weight,2023-04-25 13:36:26.741997,54
weight,2023-04-25 13:36:26.742000,52
temperature,2023-04-25 13:36:26.742002,53
light,2023-04-25 13:36:26.742004,1877
humidity,2023-04-25 13:36:26.742006,31
temperature,2023-04-25 13:36:26.742008,177
light,2023-04-25 13:36:26.742012,E6
weight,2023-04-25 13:36:26.742013,5
weight,2023-04-25 13:36:26.742015,103
weight,2023-04-25 13:36:26.742017,156
temperature,2023-04-25 13:36:26.742019,141
humidity,2023-04-25 13:36:26.742021,63
weight,2023-04-25 13:36:26.742023,E1
light,2023-04-25 13:36:26.742024,3464
temperature,2023-04-25 13:36:26.742027,7
weight,2023-04-25 13:36:26.742028,144
weight,2023-04-25 13:36:26.742030,122
humidity,2023-04-25 13:36:26.742032,1
weight,2023-04-25 13:36:26.742034,167
weight,2023-04-25 13:36:26.742036,67
weight,2023-04-25 13:36:26.742038,140
light,2023-04-25 13:36:26.742040,3284
temperature,2023-04-25 13:36:26.742042,&^%$
humidity,2023-04-25 13:36:26.742044,63
humidity,2023-04-25 13:36:26.742046,52
temperature,2023-04-25 13:36:26.742048,77
humidity,2023-04-25 13:36:26.742049,93
temperature,2023-04-25 13:36:26.742053,150
temperature,2023-04-25 13:36:26.742055,97
weight,2023-04-25 13:36:26.742059,21
weight,2023-04-25 13:36:26.742061,E0
weight,2023-04-25 13:36:26.742062,160
humidity,2023-04-25 13:36:26.742064,67
weight,2023-04-25 13:36:26.742066,59
temperature,2023-04-25 13:36:26.742068,92
weight,2023-04-25 13:36:26.742070,197
light,2023-04-25 13:36:26.742072,E1
light,2023-04-25 13:36:26.742074,2915
humidity,2023-04-25 13:36:26.742076,33
temperature,2023-04-25 13:36:26.742078,50
weight,2023-04-25 13:36:26.742079,117
humidity,2023-04-25 13:36:26.742081,92
weight,2023-04-25 13:36:26.742083,1
light,2023-04-25 13:36:26.742085,2553
temperature,2023-04-25 13:36:26.742087,92
light,2023-04-25 13:36:26.742089,444
light,2023-04-25 13:36:26.742091,1641
humidity,2023-04-25 13:36:26.742093,0
weight,2023-04-25 13:36:26.742095,162
light,2023-04-25 13:36:26.742097,1365
light,2023-04-25 13:36:26.742099,786
weight,2023-04-25 13:36:26.742101,109
light,2023-04-25 13:36:26.742105,1627
temperature,2023-04-25 13:36:26.742106,129
weight,2023-04-25 13:36:26.742108,93
temperature,2023-04-25 13:36:26.742110,84
temperature,2023-04-25 13:36:26.742112,144
weight,2023-04-25 13:36:26.742114,139
weight,2023-04-25 13:36:26.742116,106
temperature,2023-04-25 13:36:26.742118,Test
weight,2023-04-25 13:36:26.742119,71
light,2023-04-25 13:36:26.742121,E6
humidity,2023-04-25 13:36:26.742123,44
light,2023-04-25 13:36:26.742125,5334
weight,2023-04-25 13:36:26.742128,110
humidity,2023-04-25 13:36:26.742130,97
humidity,2023-04-25 13:36:26.742132,59
humidity,2023-04-25 13:36:26.742134,33
humidity,2023-04-25 13:36:26.742136,52
temperature,2023-04-25 13:36:26.742138,197
temperature,2023-04-25 13:36:26.742140,139
humidity,2023-04-25 13:36:26.742142,36
temperature,2023-04-25 13:36:26.742144,111
humidity,2023-04-25 13:36:26.742145,86
humidity,2023-04-25 13:36:26.742147,85
humidity,2023-04-25 13:36:26.742151,100
humidity,2023-04-25 13:36:26.742153,9
light,2023-04-25 13:36:26.742155,5255
weight,2023-04-25 13:36:26.742157,96
temperature,2023-04-25 13:36:26.742159,53
humidity,2023-04-25 13:36:26.742161,88
temperature,2023-04-25 13:36:26.742163,58
weight,2023-04-25 13:36:26.742165,152
humidity,2023-04-25 13:36:26.742167,59
light,2023-04-25 13:36:26.742168,2021
humidity,2023-04-25 13:36:26.742170,95
weight,2023-04-25 13:36:26.742172,87
humidity,2023-04-25 13:36:26.742174,8
weight,2023-04-25 13:36:26.742176,
light,2023-04-25 13:36:26.742177,3185
humidity,2023-04-25 13:36:26.742179,E8
temperature,2023-04-25 13:36:26.742181,
temperature,2023-04-25 13:36:26.742182,154
temperature,2023-04-25 13:36:26.742184,142
humidity,2023-04-25 13:36:26.742186,75
temperature,2023-04-25 13:36:26.742189,38
temperature,2023-04-25 13:36:26.742190,65
humidity,2023-04-25 13:36:26.742193,69
light,2023-04-25 13:36:26.742197,2618
light,2023-04-25 13:36:26.742199,4857
light,2023-04-25 13:36:26.742201,634
light,2023-04-25 13:36:26.742203,1229
weight,2023-04-25 13:36:26.742204,151
light,2023-04-25 13:36:26.742207,3427
temperature,2023-04-25 13:36:26.742208,13
temperature,2023-04-25 13:36:26.742210,81
weight,2023-04-25 13:36:26.742212,64
weight,2023-04-25 13:36:26.742214,125
temperature,2023-04-25 13:36:26.742216,E5
temperature,2023-04-25 13:36:26.742218,168
weight,2023-04-25 13:36:26.742220,118
temperature,2023-04-25 13:36:26.742224,82
humidity,2023-04-25 13:36:26.742226,2
humidity,2023-04-25 13:36:26.742228,E9
light,2023-04-25 13:36:26.742229,3270
light,2023-04-25 13:36:26.742232,483
weight,2023-04-25 13:36:26.742233,19
temperature,2023-04-25 13:36:26.742235,E0
light,2023-04-25 13:36:26.742237,3206
weight,2023-04-25 13:36:26.742239,62
light,2023-04-25 13:36:26.742241,4710
temperature,2023-04-25 13:36:26.742244,85
temperature,2023-04-25 13:36:26.742246,E0
weight,2023-04-25 13:36:26.742248,51
humidity,2023-04-25 13:36:26.742250,87
humidity,2023-04-25 13:36:26.742252,73
humidity,2023-04-25 13:36:26.742254,67
temperature,2023-04-25 13:36:26.742257,52
humidity,2023-04-25 13:36:26.742259,11
temperature,2023-04-25 13:36:26.742261,195
temperature,2023-04-25 13:36:26.742263,15
humidity,2023-04-25 13:36:26.742265,47
humidity,2023-04-25 13:36:26.742266,4
humidity,2023-04-25 13:36:26.742268,24
light,2023-04-25 13:36:26.742270,4404
temperature,2023-04-25 13:36:26.742272,E4
humidity,2023-04-25 13:36:26.742274,27
humidity,2023-04-25 13:36:26.742276,21
weight,2023-04-25 13:36:26.742278,167
humidity,2023-04-25 13:36:26.742280,E2
light,2023-04-25 13:36:26.742281,5205
temperature,2023-04-25 13:36:26.742283,111
humidity,2023-04-25 13:36:26.742285,74
temperature,2023-04-25 13:36:26.742287,73
light,2023-04-25 13:36:26.742291,3165
light,2023-04-25 13:36:26.742293,
humidity,2023-04-25 13:36:26.742294,Test
temperature,2023-04-25 13:36:26.742296,167
humidity,2023-04-25 13:36:26.742298,80
weight,2023-04-25 13:36:26.742299,166
light,2023-04-25 13:36:26.742302,2586
light,2023-04-25 13:36:26.742304,974
temperature,2023-04-25 13:36:26.742306,
light,2023-04-25 13:36:26.742308,2031
light,2023-04-25 13:36:26.742310,3128
temperature,2023-04-25 13:36:26.742312,8
weight,2023-04-25 13:36:26.742313,117
light,2023-04-25 13:36:26.742316,1954
humidity,2023-04-25 13:36:26.742318,67
light,2023-04-25 13:36:26.742320,360
light,2023-04-25 13:36:26.742321,5706
weight,2023-04-25 13:36:26.742324,183
temperature,2023-04-25 13:36:26.742325,55
weight,2023-04-25 13:36:26.742327,107
temperature,2023-04-25 13:36:26.742329,53
light,2023-04-25 13:36:26.742331,3563
temperature,2023-04-25 13:36:26.742333,47
weight,2023-04-25 13:36:26.742337,41
light,2023-04-25 13:36:26.742339,1857
light,2023-04-25 13:36:26.742341,5463
humidity,2023-04-25 13:36:26.742343,35
temperature,2023-04-25 13:36:26.742345,20
humidity,2023-04-25 13:36:26.742347,88
temperature,2023-04-25 13:36:26.742349,E8
temperature,2023-04-25 13:36:26.742350,118
weight,2023-04-25 13:36:26.742352,145
temperature,2023-04-25 13:36:26.742354,147
light,2023-04-25 13:36:26.742356,678
temperature,2023-04-25 13:36:26.742358,E9
temperature,2023-04-25 13:36:26.742360,27
humidity,2023-04-25 13:36:26.742362,9
temperature,2023-04-25 13:36:26.742364,81
humidity,2023-04-25 13:36:26.742366,18
temperature,2023-04-25 13:36:26.742368,17
humidity,2023-04-25 13:36:26.742370,60
temperature,2023-04-25 13:36:26.742372,123
light,2023-04-25 13:36:26.742374,E6
light,2023-04-25 13:36:26.742375,208
humidity,2023-04-25 13:36:26.742377,&^%$
temperature,2023-04-25 13:36:26.742379,95
humidity,2023-04-25 13:36:26.742384,71
light,2023-04-25 13:36:26.742386,5067
humidity,2023-04-25 13:36:26.742388,55
weight,2023-04-25 13:36:26.742390,195
humidity,2023-04-25 13:36:26.742392,63
light,2023-04-25 13:36:26.742396,1383
weight,2023-04-25 13:36:26.742398,39
temperature,2023-04-25 13:36:26.742399,172
weight,2023-04-25 13:36:26.742401,10
humidity,2023-04-25 13:36:26.742403,91
temperature,2023-04-25 13:36:26.742405,188
light,2023-04-25 13:36:26.742407,2422
light,2023-04-25 13:36:26.742409,
light,2023-04-25 13:36:26.742411,3768
humidity,2023-04-25 13:36:26.742413,12
temperature,2023-04-25 13:36:26.742415,132
weight,2023-04-25 13:36:26.742416,84
light,2023-04-25 13:36:26.742419,3563
temperature,2023-04-25 13:36:26.742421,107
weight,2023-04-25 13:36:26.742423,E0
light,2023-04-25 13:36:26.742424,1296
weight,2023-04-25 13:36:26.742426,E2
humidity,2023-04-25 13:36:26.742428,21
light,2023-04-25 13:36:26.742431,1098
light,2023-04-25 13:36:26.742433,4368
light,2023-04-25 13:36:26.742435,5549
temperature,2023-04-25 13:36:26.742437,104
weight,2023-04-25 13:36:26.742439,173
weight,2023-04-25 13:36:26.742441,109
temperature,2023-04-25 13:36:26.742443,&^%$
humidity,2023-04-25 13:36:26.742444,6
light,2023-04-25 13:36:26.742446,3811
humidity,2023-04-25 13:36:26.742448,E5
humidity,2023-04-25 13:36:26.742450,21
humidity,2023-04-25 13:36:26.742451,93
temperature,2023-04-25 13:36:26.742453,32
temperature,2023-04-25 13:36:26.742456,2
humidity,2023-04-25 13:36:26.742458,98
humidity,2023-04-25 13:36:26.742460,46
humidity,2023-04-25 13:36:26.742462,1
light,2023-04-25 13:36:26.742464,770
light,2023-04-25 13:36:26.742466,5044
light,2023-04-25 13:36:26.742468,5633
weight,2023-04-25 13:36:26.742470,190
weight,2023-04-25 13:36:26.742472,6
light,2023-04-25 13:36:26.742474,5036
temperature,2023-04-25 13:36:26.742477,174
temperature,2023-04-25 13:36:26.742479,69
humidity,2023-04-25 13:36:26.742481,E3
light,2023-04-25 13:36:26.742482,3903
temperature,2023-04-25 13:36:26.742484,E5
weight,2023-04-25 13:36:26.742486,5
humidity,2023-04-25 13:36:26.742488,39
light,2023-04-25 13:36:26.742490,1898
humidity,2023-04-25 13:36:26.742492,54
humidity,2023-04-25 13:36:26.742494,54
humidity,2023-04-25 13:36:26.742496,31
humidity,2023-04-25 13:36:26.742498,24
weight,2023-04-25 13:36:26.742500,E7
light,2023-04-25 13:36:26.742501,2026
light,2023-04-25 13:36:26.742503,3649
weight,2023-04-25 13:36:26.742505,170
weight,2023-04-25 13:36:26.742507,163
weight,2023-04-25 13:36:26.742511,143
weight,2023-04-25 13:36:26.742513,185
temperature,2023-04-25 13:36:26.742514,69
weight,2023-04-25 13:36:26.742516,46
humidity,2023-04-25 13:36:26.742518,82
temperature,2023-04-25 13:36:26.742520,178
temperature,2023-04-25 13:36:26.742523,196
weight,2023-04-25 13:36:26.742525,33
light,2023-04-25 13:36:26.742527,1941
weight,2023-04-25 13:36:26.742529,12
temperature,2023-04-25 13:36:26.742531,
temperature,2023-04-25 13:36:26.742533,107
humidity,2023-04-25 13:36:26.742534,49
weight,2023-04-25 13:36:26.742536,118
weight,2023-04-25 13:36:26.742538,158
light,2023-04-25 13:36:26.742540,1703
light,2023-04-25 13:36:26.742543,2023
light,2023-04-25 13:36:26.742545,3376
weight,2023-04-25 13:36:26.742547,62
temperature,2023-04-25 13:36:26.742548,5
weight,2023-04-25 13:36:26.742550,140
weight,2023-04-25 13:36:26.742552,123
weight,2023-04-25 13:36:26.742554,14
weight,2023-04-25 13:36:26.742556,191
humidity,2023-04-25 13:36:26.742558,9
light,2023-04-25 13:36:26.742560,5685
light,2023-04-25 13:36:26.742563,5365
humidity,2023-04-25 13:36:26.742565,3
weight,2023-04-25 13:36:26.742567,34
weight,2023-04-25 13:36:26.742571,133
weight,2023-04-25 13:36:26.742573,138
humidity,2023-04-25 13:36:26.742575,96
weight,2023-04-25 13:36:26.742577,100
temperature,2023-04-25 13:36:26.742579,45
weight,2023-04-25 13:36:26.742581,&^%$
light,2023-04-25 13:36:26.742582,185
