sensor,date,measurement
humidity,2023-04-25 13:53:31.760006,59
humidity,2023-04-25 13:53:31.760008,41
humidity,2023-04-25 13:53:31.760009,19
weight,2023-04-25 13:53:31.760013,27
humidity,2023-04-25 13:53:31.760014,52
humidity,2023-04-25 13:53:31.760016,27
light,2023-04-25 13:53:31.760018,4528
light,2023-04-25 13:53:31.760020,200
weight,2023-04-25 13:53:31.760022,181
light,2023-04-25 13:53:31.760024,4745
light,2023-04-25 13:53:31.760026,1142
weight,2023-04-25 13:53:31.760028,149
humidity,2023-04-25 13:53:31.760030,61
humidity,2023-04-25 13:53:31.760032,81
weight,2023-04-25 13:53:31.760034,190
humidity,2023-04-25 13:53:31.760036,56
light,2023-04-25 13:53:31.760038,1113
humidity,2023-04-25 13:53:31.760039,3
temperature,2023-04-25 13:53:31.760041,39
humidity,2023-04-25 13:53:31.760043,23
humidity,2023-04-25 13:53:31.760045,78
light,2023-04-25 13:53:31.760047,5584
weight,2023-04-25 13:53:31.760049,99
temperature,2023-04-25 13:53:31.760051,80
humidity,2023-04-25 13:53:31.760053,51
humidity,2023-04-25 13:53:31.760055,33
light,2023-04-25 13:53:31.760058,1919
light,2023-04-25 13:53:31.760060,4173
light,2023-04-25 13:53:31.760062,2062
humidity,2023-04-25 13:53:31.760065,10
temperature,2023-04-25 13:53:31.760067,17
temperature,2023-04-25 13:53:31.760069,70
temperature,2023-04-25 13:53:31.760071,33
light,2023-04-25 13:53:31.760073,946
light,2023-04-25 13:53:31.760075,4423
humidity,2023-04-25 13:53:31.760077,24
humidity,2023-04-25 13:53:31.760078,24
weight,2023-04-25 13:53:31.760080,141
humidity,2023-04-25 13:53:31.760082,85
temperature,2023-04-25 13:53:31.760084,E7
light,2023-04-25 13:53:31.760086,3395
weight,2023-04-25 13:53:31.760088,181
weight,2023-04-25 13:53:31.760089,104
temperature,2023-04-25 13:53:31.760091,182
temperature,2023-04-25 13:53:31.760093,32
humidity,2023-04-25 13:53:31.760095,39
weight,2023-04-25 13:53:31.760097,89
temperature,2023-04-25 13:53:31.760099,162
light,2023-04-25 13:53:31.760101,-10
temperature,2023-04-25 13:53:31.760103,127
temperature,2023-04-25 13:53:31.760105,98
temperature,2023-04-25 13:53:31.760107,116
humidity,2023-04-25 13:53:31.760109,32
humidity,2023-04-25 13:53:31.760111,48
temperature,2023-04-25 13:53:31.760112,E9
weight,2023-04-25 13:53:31.760114,103
humidity,2023-04-25 13:53:31.760116,21
weight,2023-04-25 13:53:31.760121,E3
light,2023-04-25 13:53:31.760122,648
light,2023-04-25 13:53:31.760124,4911
weight,2023-04-25 13:53:31.760126,E9
weight,2023-04-25 13:53:31.760128,68
humidity,2023-04-25 13:53:31.760130,46
humidity,2023-04-25 13:53:31.760132,5
temperature,2023-04-25 13:53:31.760134,75
humidity,2023-04-25 13:53:31.760136,37
temperature,2023-04-25 13:53:31.760138,155
temperature,2023-04-25 13:53:31.760139,176
humidity,2023-04-25 13:53:31.760141,5
temperature,2023-04-25 13:53:31.760143,144
humidity,2023-04-25 13:53:31.760145,58
light,2023-04-25 13:53:31.760147,810
weight,2023-04-25 13:53:31.760150,112
temperature,2023-04-25 13:53:31.760153,173
weight,2023-04-25 13:53:31.760154,59
temperature,2023-04-25 13:53:31.760156,137
weight,2023-04-25 13:53:31.760158,183
humidity,2023-04-25 13:53:31.760160,E9
temperature,2023-04-25 13:53:31.760161,19
temperature,2023-04-25 13:53:31.760163,E2
light,2023-04-25 13:53:31.760165,4232
light,2023-04-25 13:53:31.760167,2149
light,2023-04-25 13:53:31.760169,3399
light,2023-04-25 13:53:31.760171,5971
temperature,2023-04-25 13:53:31.760173,10
humidity,2023-04-25 13:53:31.760175,94
humidity,2023-04-25 13:53:31.760176,31
temperature,2023-04-25 13:53:31.760178,84
humidity,2023-04-25 13:53:31.760180,96
temperature,2023-04-25 13:53:31.760182,39
humidity,2023-04-25 13:53:31.760184,84
weight,2023-04-25 13:53:31.760186,2
humidity,2023-04-25 13:53:31.760188,87
temperature,2023-04-25 13:53:31.760189,143
humidity,2023-04-25 13:53:31.760191,21
weight,2023-04-25 13:53:31.760195,69
temperature,2023-04-25 13:53:31.760196,175
weight,2023-04-25 13:53:31.760198,140
temperature,2023-04-25 13:53:31.760200,133
humidity,2023-04-25 13:53:31.760202,62
weight,2023-04-25 13:53:31.760204,59
temperature,2023-04-25 13:53:31.760206,177
light,2023-04-25 13:53:31.760207,5232
weight,2023-04-25 13:53:31.760209,44
humidity,2023-04-25 13:53:31.760211,67
temperature,2023-04-25 13:53:31.760213,54
humidity,2023-04-25 13:53:31.760215,29
humidity,2023-04-25 13:53:31.760217,E8
humidity,2023-04-25 13:53:31.760219,41
humidity,2023-04-25 13:53:31.760221,36
temperature,2023-04-25 13:53:31.760223,46
humidity,2023-04-25 13:53:31.760225,44
light,2023-04-25 13:53:31.760227,1500
temperature,2023-04-25 13:53:31.760228,88
temperature,2023-04-25 13:53:31.760230,43
temperature,2023-04-25 13:53:31.760232,17
humidity,2023-04-25 13:53:31.760234,15
weight,2023-04-25 13:53:31.760236,89
weight,2023-04-25 13:53:31.760240,194
temperature,2023-04-25 13:53:31.760242,83
humidity,2023-04-25 13:53:31.760245,6
humidity,2023-04-25 13:53:31.760247,53
weight,2023-04-25 13:53:31.760249,109
weight,2023-04-25 13:53:31.760250,186
temperature,2023-04-25 13:53:31.760253,166
humidity,2023-04-25 13:53:31.760254,6
temperature,2023-04-25 13:53:31.760256,164
temperature,2023-04-25 13:53:31.760258,193
temperature,2023-04-25 13:53:31.760260,178
weight,2023-04-25 13:53:31.760262,151
humidity,2023-04-25 13:53:31.760264,50
weight,2023-04-25 13:53:31.760266,62
humidity,2023-04-25 13:53:31.760267,83
weight,2023-04-25 13:53:31.760269,35
light,2023-04-25 13:53:31.760271,Test
weight,2023-04-25 13:53:31.760273,179
light,2023-04-25 13:53:31.760275,68
temperature,2023-04-25 13:53:31.760277,130
temperature,2023-04-25 13:53:31.760279,196
temperature,2023-04-25 13:53:31.760280,66
temperature,2023-04-25 13:53:31.760282,17
weight,2023-04-25 13:53:31.760287,87
weight,2023-04-25 13:53:31.760289,181
humidity,2023-04-25 13:53:31.760291,92
temperature,2023-04-25 13:53:31.760293,141
temperature,2023-04-25 13:53:31.760294,119
weight,2023-04-25 13:53:31.760296,188
light,2023-04-25 13:53:31.760298,4191
humidity,2023-04-25 13:53:31.760300,E5
weight,2023-04-25 13:53:31.760302,137
weight,2023-04-25 13:53:31.760304,57
weight,2023-04-25 13:53:31.760305,35
weight,2023-04-25 13:53:31.760307,0
humidity,2023-04-25 13:53:31.760309,28
temperature,2023-04-25 13:53:31.760311,122
weight,2023-04-25 13:53:31.760313,157
weight,2023-04-25 13:53:31.760315,21
humidity,2023-04-25 13:53:31.760317,87
humidity,2023-04-25 13:53:31.760318,10
humidity,2023-04-25 13:53:31.760321,27
humidity,2023-04-25 13:53:31.760322,66
temperature,2023-04-25 13:53:31.760324,46
temperature,2023-04-25 13:53:31.760326,E7
light,2023-04-25 13:53:31.760328,5597
humidity,2023-04-25 13:53:31.760332,74
weight,2023-04-25 13:53:31.760333,155
light,2023-04-25 13:53:31.760335,E1
light,2023-04-25 13:53:31.760337,4926
light,2023-04-25 13:53:31.760339,102
temperature,2023-04-25 13:53:31.760341,169
light,2023-04-25 13:53:31.760343,2208
humidity,2023-04-25 13:53:31.760345,88
light,2023-04-25 13:53:31.760346,1605
humidity,2023-04-25 13:53:31.760348,45
light,2023-04-25 13:53:31.760350,1416
light,2023-04-25 13:53:31.760352,4531
humidity,2023-04-25 13:53:31.760354,E5
weight,2023-04-25 13:53:31.760355,147
humidity,2023-04-25 13:53:31.760357,6
temperature,2023-04-25 13:53:31.760359,87
temperature,2023-04-25 13:53:31.760361,125
light,2023-04-25 13:53:31.760363,5095
humidity,2023-04-25 13:53:31.760365,3
temperature,2023-04-25 13:53:31.760368,191
light,2023-04-25 13:53:31.760370,3144
humidity,2023-04-25 13:53:31.760372,58
light,2023-04-25 13:53:31.760374,2700
temperature,2023-04-25 13:53:31.760377,77
temperature,2023-04-25 13:53:31.760379,91
light,2023-04-25 13:53:31.760381,3992
temperature,2023-04-25 13:53:31.760383,121
light,2023-04-25 13:53:31.760384,2335
temperature,2023-04-25 13:53:31.760386,195
humidity,2023-04-25 13:53:31.760388,E3
humidity,2023-04-25 13:53:31.760390,7
humidity,2023-04-25 13:53:31.760392,81
light,2023-04-25 13:53:31.760393,E3
light,2023-04-25 13:53:31.760395,2230
humidity,2023-04-25 13:53:31.760397,60
temperature,2023-04-25 13:53:31.760399,100
humidity,2023-04-25 13:53:31.760401,59
temperature,2023-04-25 13:53:31.760402,195
light,2023-04-25 13:53:31.760404,1399
light,2023-04-25 13:53:31.760406,1008
temperature,2023-04-25 13:53:31.760408,47
weight,2023-04-25 13:53:31.760410,56
light,2023-04-25 13:53:31.760412,3718
weight,2023-04-25 13:53:31.760414,82
temperature,2023-04-25 13:53:31.760416,134
light,2023-04-25 13:53:31.760421,5780
weight,2023-04-25 13:53:31.760425,39
humidity,2023-04-25 13:53:31.760427,4
light,2023-04-25 13:53:31.760429,391
temperature,2023-04-25 13:53:31.760431,143
light,2023-04-25 13:53:31.760433,4162
light,2023-04-25 13:53:31.760435,670
light,2023-04-25 13:53:31.760437,96
humidity,2023-04-25 13:53:31.760439,49
temperature,2023-04-25 13:53:31.760440,60
weight,2023-04-25 13:53:31.760442,134
humidity,2023-04-25 13:53:31.760444,65
humidity,2023-04-25 13:53:31.760446,93
temperature,2023-04-25 13:53:31.760448,175
temperature,2023-04-25 13:53:31.760450,E0
weight,2023-04-25 13:53:31.760452,105
humidity,2023-04-25 13:53:31.760455,59
temperature,2023-04-25 13:53:31.760457,129
temperature,2023-04-25 13:53:31.760459,117
light,2023-04-25 13:53:31.760461,E9
temperature,2023-04-25 13:53:31.760463,102
weight,2023-04-25 13:53:31.760465,11
temperature,2023-04-25 13:53:31.760467,118
light,2023-04-25 13:53:31.760468,4044
weight,2023-04-25 13:53:31.760472,1
light,2023-04-25 13:53:31.760474,4586
temperature,2023-04-25 13:53:31.760476,28
light,2023-04-25 13:53:31.760477,3384
light,2023-04-25 13:53:31.760480,2330
humidity,2023-04-25 13:53:31.760481,38
weight,2023-04-25 13:53:31.760483,155
light,2023-04-25 13:53:31.760485,E4
weight,2023-04-25 13:53:31.760487,144
light,2023-04-25 13:53:31.760488,2974
light,2023-04-25 13:53:31.760490,3882
weight,2023-04-25 13:53:31.760492,128
temperature,2023-04-25 13:53:31.760494,107
temperature,2023-04-25 13:53:31.760497,182
weight,2023-04-25 13:53:31.760499,1
humidity,2023-04-25 13:53:31.760501,18
weight,2023-04-25 13:53:31.760503,190
light,2023-04-25 13:53:31.760504,E3
humidity,2023-04-25 13:53:31.760506,41
weight,2023-04-25 13:53:31.760508,115
humidity,2023-04-25 13:53:31.760510,19
weight,2023-04-25 13:53:31.760512,25
weight,2023-04-25 13:53:31.760514,72
weight,2023-04-25 13:53:31.760517,88
humidity,2023-04-25 13:53:31.760519,39
temperature,2023-04-25 13:53:31.760521,66
temperature,2023-04-25 13:53:31.760523,100
light,2023-04-25 13:53:31.760525,409
temperature,2023-04-25 13:53:31.760527,138
light,2023-04-25 13:53:31.760528,844
weight,2023-04-25 13:53:31.760530,67
weight,2023-04-25 13:53:31.760532,E2
temperature,2023-04-25 13:53:31.760534,107
weight,2023-04-25 13:53:31.760536,E6
weight,2023-04-25 13:53:31.760537,E4
temperature,2023-04-25 13:53:31.760539,125
humidity,2023-04-25 13:53:31.760541,1
temperature,2023-04-25 13:53:31.760543,100
temperature,2023-04-25 13:53:31.760545,92
humidity,2023-04-25 13:53:31.760547,E7
weight,2023-04-25 13:53:31.760549,75
humidity,2023-04-25 13:53:31.760551,88
temperature,2023-04-25 13:53:31.760552,134
weight,2023-04-25 13:53:31.760554,192
weight,2023-04-25 13:53:31.760556,97
temperature,2023-04-25 13:53:31.760558,80
temperature,2023-04-25 13:53:31.760561,129
temperature,2023-04-25 13:53:31.760563,152
humidity,2023-04-25 13:53:31.760565,55
temperature,2023-04-25 13:53:31.760566,83
weight,2023-04-25 13:53:31.760568,171
humidity,2023-04-25 13:53:31.760571,98
light,2023-04-25 13:53:31.760572,4452
weight,2023-04-25 13:53:31.760575,104
weight,2023-04-25 13:53:31.760577,74
weight,2023-04-25 13:53:31.760579,75
light,2023-04-25 13:53:31.760581,4289
light,2023-04-25 13:53:31.760583,E0
humidity,2023-04-25 13:53:31.760584,E1
humidity,2023-04-25 13:53:31.760586,50
temperature,2023-04-25 13:53:31.760588,104
weight,2023-04-25 13:53:31.760590,157
temperature,2023-04-25 13:53:31.760592,95
temperature,2023-04-25 13:53:31.760593,131
light,2023-04-25 13:53:31.760595,2071
humidity,2023-04-25 13:53:31.760597,37
weight,2023-04-25 13:53:31.760599,120
light,2023-04-25 13:53:31.760601,5556
light,2023-04-25 13:53:31.760603,4052
weight,2023-04-25 13:53:31.760606,156
temperature,2023-04-25 13:53:31.760608,169
temperature,2023-04-25 13:53:31.760610,146
humidity,2023-04-25 13:53:31.760612,41
weight,2023-04-25 13:53:31.760614,197
weight,2023-04-25 13:53:31.760615,104
humidity,2023-04-25 13:53:31.760617,28
humidity,2023-04-25 13:53:31.760623,41
temperature,2023-04-25 13:53:31.760624,176
humidity,2023-04-25 13:53:31.760626,36
humidity,2023-04-25 13:53:31.760628,77
light,2023-04-25 13:53:31.760630,5921
humidity,2023-04-25 13:53:31.760632,100
weight,2023-04-25 13:53:31.760634,94
light,2023-04-25 13:53:31.760636,2281
weight,2023-04-25 13:53:31.760638,64
humidity,2023-04-25 13:53:31.760640,26
weight,2023-04-25 13:53:31.760641,98
humidity,2023-04-25 13:53:31.760643,36
humidity,2023-04-25 13:53:31.760645,21
weight,2023-04-25 13:53:31.760647,53
temperature,2023-04-25 13:53:31.760649,190
temperature,2023-04-25 13:53:31.760651,66
weight,2023-04-25 13:53:31.760654,66
temperature,2023-04-25 13:53:31.760656,140
weight,2023-04-25 13:53:31.760658,95
temperature,2023-04-25 13:53:31.760660,E8
weight,2023-04-25 13:53:31.760661,82
light,2023-04-25 13:53:31.760663,5538
temperature,2023-04-25 13:53:31.760665,83
temperature,2023-04-25 13:53:31.760667,119
light,2023-04-25 13:53:31.760670,3803
light,2023-04-25 13:53:31.760672,1145
temperature,2023-04-25 13:53:31.760674,E8
light,2023-04-25 13:53:31.760675,E2
light,2023-04-25 13:53:31.760677,5705
temperature,2023-04-25 13:53:31.760679,16
humidity,2023-04-25 13:53:31.760680,14
weight,2023-04-25 13:53:31.760683,93
humidity,2023-04-25 13:53:31.760685,16
temperature,2023-04-25 13:53:31.760687,200
temperature,2023-04-25 13:53:31.760688,58
humidity,2023-04-25 13:53:31.760690,71
temperature,2023-04-25 13:53:31.760692,94
weight,2023-04-25 13:53:31.760694,67
humidity,2023-04-25 13:53:31.760696,67
light,2023-04-25 13:53:31.760700,4597
temperature,2023-04-25 13:53:31.760702,192
temperature,2023-04-25 13:53:31.760703,164
humidity,2023-04-25 13:53:31.760705,E2
humidity,2023-04-25 13:53:31.760707,85
humidity,2023-04-25 13:53:31.760708,92
humidity,2023-04-25 13:53:31.760710,E3
light,2023-04-25 13:53:31.760712,4578
weight,2023-04-25 13:53:31.760714,116
weight,2023-04-25 13:53:31.760716,29
weight,2023-04-25 13:53:31.760717,E5
weight,2023-04-25 13:53:31.760719,100
light,2023-04-25 13:53:31.760721,4502
light,2023-04-25 13:53:31.760723,4894
temperature,2023-04-25 13:53:31.760725,118
humidity,2023-04-25 13:53:31.760727,65
humidity,2023-04-25 13:53:31.760728,44
humidity,2023-04-25 13:53:31.760730,E3
humidity,2023-04-25 13:53:31.760732,Test
humidity,2023-04-25 13:53:31.760733,74
light,2023-04-25 13:53:31.760735,5458
humidity,2023-04-25 13:53:31.760737,49
temperature,2023-04-25 13:53:31.760739,173
light,2023-04-25 13:53:31.760742,E0
light,2023-04-25 13:53:31.760746,2924
humidity,2023-04-25 13:53:31.760748,7
temperature,2023-04-25 13:53:31.760749,E6
weight,2023-04-25 13:53:31.760751,139
weight,2023-04-25 13:53:31.760753,82
light,2023-04-25 13:53:31.760755,3614
weight,2023-04-25 13:53:31.760757,197
light,2023-04-25 13:53:31.760758,-10
weight,2023-04-25 13:53:31.760760,177
light,2023-04-25 13:53:31.760762,182
humidity,2023-04-25 13:53:31.760764,76
weight,2023-04-25 13:53:31.760766,166
weight,2023-04-25 13:53:31.760768,9
humidity,2023-04-25 13:53:31.760770,41
humidity,2023-04-25 13:53:31.760771,38
light,2023-04-25 13:53:31.760773,-10
light,2023-04-25 13:53:31.760775,1066
temperature,2023-04-25 13:53:31.760777,118
light,2023-04-25 13:53:31.760779,3365
temperature,2023-04-25 13:53:31.760781,15
humidity,2023-04-25 13:53:31.760782,24
humidity,2023-04-25 13:53:31.760786,60
light,2023-04-25 13:53:31.760794,5120
light,2023-04-25 13:53:31.760796,1562
weight,2023-04-25 13:53:31.760798,93
weight,2023-04-25 13:53:31.760800,89
temperature,2023-04-25 13:53:31.760802,154
